sensor,time,power,temperature,flag_missing_temperature,flag_bad_coordinates,flag_physical_outlier,flag_sensor_iqr_outlier,flag_rolling_spike,flag_row_outlier
N102,22464000.0,500.0,,True,False,False,False,False,True
N102,82080000.0,500.0,,True,False,False,False,False,True
N102,91584000.0,1418.475,,True,False,False,False,False,True
N102,127872000.0,1400.0,,True,False,False,False,False,True
N102,160704000.0,1400.0,,True,False,False,False,False,True
N102,171072000.0,500.0,,True,False,False,False,False,True
N102,172800000.0,1400.0,,True,False,False,False,False,True
N102,218592000.0,1400.0,,True,False,False,False,False,True
N102,251424000.0,500.0,,True,False,False,False,False,True
N102,277344000.0,500.0,,True,False,False,False,False,True
N102,279072000.0,500.0,,True,False,False,False,False,True
N102,282528000.0,1400.0,,True,False,False,False,False,True
N102,314496000.0,1270.67,,True,False,False,False,False,True
N102,330048000.0,500.0,,True,False,False,False,False,True
N102,385344000.0,1400.0,,True,False,False,False,False,True
N102,412128000.0,1213.5526,,True,False,False,False,False,True
N102,413856000.0,500.0,,True,False,False,False,False,True
N102,425952000.0,500.0,,True,False,False,False,False,True
N102,431136000.0,500.0,,True,False,False,False,False,True
N102,432864000.0,1201.9598,,True,False,False,False,False,True
N102,439776000.0,1400.0,,True,False,False,False,False,True
N102,455328000.0,500.0,,True,False,False,False,False,True
N102,462240000.0,1400.0,,True,False,False,False,False,True
N102,482976000.0,1400.0,,True,False,False,False,False,True
N102,490752000.0,1170.4779,,True,False,False,False,False,True
N102,510624000.0,500.0,,True,False,False,False,False,True
N102,514080000.0,1400.0,,True,False,False,False,False,True
N102,527904000.0,500.0,,True,False,False,False,False,True
N102,540864000.0,500.0,,True,False,False,False,False,True
N102,557280000.0,500.0,,True,False,False,False,False,True
N102,567648000.0,1130.5355,,True,False,False,False,False,True
N102,576288000.0,1400.0,,True,False,False,False,False,True
N102,580608000.0,1400.0,,True,False,False,False,False,True
N102,615168000.0,1107.0511,,True,False,False,False,False,True
N102,628128000.0,500.0,,True,False,False,False,False,True
N102,664416000.0,1083.4213,,True,False,False,False,False,True
N102,673056000.0,1400.0,,True,False,False,False,False,True
N102,688608000.0,500.0,,True,False,False,False,False,True
N102,719712000.0,1057.9155,,True,False,False,False,False,True
N102,725760000.0,500.0,,True,False,False,False,False,True
N102,751680000.0,1043.6113,,True,False,False,False,False,True
N102,786240000.0,1400.0,,True,False,False,False,False,True
N102,789782400.0,500.0,,True,False,False,False,False,True
N102,791510400.0,1026.1942,,True,False,False,False,False,True
N102,791510400.0,1400.0,,True,False,False,False,False,True
N102,792374400.0,1025.8258,,True,False,False,False,False,True
N102,801014400.0,1022.14166,,True,False,False,False,False,True
N102,819158400.0,1400.0,,True,False,False,False,False,True
N102,833846400.0,500.0,,True,False,False,False,False,True
N102,852854400.0,1400.0,,True,False,False,False,False,True
N102,861494400.0,996.8359,,True,False,False,False,False,True
N102,904694400.0,500.0,,True,False,False,False,False,True
N102,906422400.0,1400.0,,True,False,False,False,False,True
N102,922838400.0,1400.0,,True,False,False,False,False,True
N102,924566400.0,971.50714,,True,False,False,False,False,True
N102,927158400.0,1400.0,,True,False,False,False,False,True
N102,935798400.0,1400.0,,True,False,False,False,False,True
N102,1004054400.0,1400.0,,True,False,False,False,False,True
N102,1005782400.0,1000.0,,True,False,False,False,False,True
N102,1056758400.0,1400.0,,True,False,False,False,False,True
N102,1120694400.0,899.51044,,True,False,False,False,False,True
N102,1142294400.0,1000.0,,True,False,False,False,False,True
N102,1190678400.0,1400.0,,True,False,False,False,False,True
N102,1214006400.0,1400.0,,True,False,False,False,False,True
N102,1240790400.0,1000.0,,True,False,False,False,False,True
N102,1257206400.0,1000.0,,True,False,False,False,False,True
N102,1302998400.0,840.62335,,True,False,False,False,False,True
N102,1326326400.0,1400.0,,True,False,False,False,False,True
N102,1347062400.0,1000.0,,True,False,False,False,False,True
N102,1348790400.0,1400.0,,True,False,False,False,False,True
N102,1350518400.0,826.42804,,True,False,False,False,False,True
N102,1369526400.0,1400.0,,True,False,False,False,False,True
N102,1400630400.0,1400.0,,True,False,False,False,False,True
N102,1403222400.0,1000.0,,True,False,False,False,False,True
N102,1412726400.0,1000.0,,True,False,False,False,False,True
N102,1457654400.0,795.9808,,True,False,False,False,False,True
N102,1458518400.0,1400.0,,True,False,False,False,False,True
N102,1477526400.0,790.56433,,True,False,False,False,False,True
N102,1482710400.0,789.1543,,True,False,False,False,False,True
N102,1490486400.0,787.0781,,True,False,False,False,False,True
N102,1504310400.0,1000.0,,True,False,False,False,False,True
N102,1512950400.0,1400.0,,True,False,False,False,False,True
N102,1515542400.0,1400.0,,True,False,False,False,False,True
N102,1520726400.0,779.0373,,True,False,False,False,False,True
N102,1540598400.0,1000.0,,True,False,False,False,False,True
N102,1553558400.0,1400.0,,True,False,False,False,False,True
N102,1583884800.0,762.74426,,True,False,False,False,False,True
N102,1589932800.0,1000.0,,True,False,False,False,False,True
N102,1595980800.0,1000.0,,True,False,False,False,False,True
N102,1618444800.0,1000.0,,True,False,False,False,False,True
N102,1625356800.0,1000.0,,True,False,False,False,False,True
N102,1628812800.0,1400.0,,True,False,False,False,False,True
N102,1650412800.0,1400.0,,True,False,False,False,False,True
N102,1660780800.0,1400.0,,True,False,False,False,False,True
N102,1685836800.0,737.82666,,True,False,False,False,False,True
N102,1697068800.0,735.1727,,True,False,False,False,False,True
N102,1726444800.0,728.3474,,True,False,False,False,False,True
N102,1769644800.0,718.5129,,True,False,False,False,False,True
N102,1861228800.0,698.54926,,True,False,False,False,False,True
N102,1884556800.0,693.66077,,True,False,False,False,False,True
N102,1888012800.0,1400.0,,True,False,False,False,False,True
N102,1906156800.0,1400.0,,True,False,False,False,False,True
N102,1927756800.0,684.7642,,True,False,False,False,False,True
N102,1938124800.0,1400.0,,True,False,False,False,False,True
N102,1949356800.0,1400.0,,True,False,False,False,False,True
N102,1989100800.0,672.54266,,True,False,False,False,False,True
N102,2007244800.0,1500.0,,True,False,False,False,False,True
N102,2041804800.0,1500.0,,True,False,False,False,False,True
N102,2072044800.0,1500.0,,True,False,False,False,False,True
N102,2078092800.0,1400.0,,True,False,False,False,False,True
N102,2078956800.0,1400.0,,True,False,False,False,False,True
N102,2079820800.0,655.29675,,True,False,False,False,False,True
N102,2156716800.0,1400.0,,True,False,False,False,False,True
N102,2179180800.0,637.47656,,True,False,False,False,False,True
N102,2182636800.0,636.8809,,True,False,False,False,False,True
N102,2241388800.0,1500.0,,True,False,False,False,False,True
N102,2247436800.0,1400.0,,True,False,False,False,False,True
N102,2260396800.0,623.7133,,True,False,False,False,False,True
N102,2284588800.0,619.7303,,True,False,False,False,False,True
N102,2288908800.0,619.02295,,True,False,False,False,False,True
N102,2291500800.0,618.5985,,True,False,False,False,False,True
N102,2308780800.0,1400.0,,True,False,False,False,False,True
N102,2314828800.0,1400.0,,True,False,False,False,False,True
N102,2335564800.0,1500.0,,True,False,False,False,False,True
N102,2353708800.0,1400.0,,True,False,False,False,False,True
N102,2361484800.0,607.45233,,True,False,False,False,False,True
N102,2427235200.0,1400.0,,True,False,False,False,False,True
N102,2440195200.0,1500.0,,True,False,False,False,False,True
N102,2449699200.0,594.0432,,True,False,False,False,False,True
N102,2460067200.0,1500.0,,True,False,False,False,False,True
N102,2474755200.0,1400.0,,True,False,False,False,False,True
N102,2476483200.0,590.1158,,True,False,False,False,False,True
N102,2518819200.0,1400.0,,True,False,False,False,False,True
N102,2525731200.0,1400.0,,True,False,False,False,False,True
N102,2556835200.0,1400.0,,True,False,False,False,False,True
N102,2561155200.0,1400.0,,True,False,False,False,False,True
N102,2582755200.0,1500.0,,True,False,False,False,False,True
N102,2617315200.0,1400.0,,True,False,False,False,False,True
N102,2699395200.0,1400.0,,True,False,False,False,False,True
N102,2702851200.0,1400.0,,True,False,False,False,False,True
N102,2727907200.0,1400.0,,True,False,False,False,False,True
N102,2732227200.0,1500.0,,True,False,False,False,False,True
N102,2737411200.0,1400.0,,True,False,False,False,False,True
N102,2746051200.0,1400.0,,True,False,False,False,False,True
N102,2776291200.0,1500.0,,True,False,False,False,False,True
N102,2782339200.0,549.2196,,True,False,False,False,False,True
N102,2816899200.0,1500.0,,True,False,False,False,False,True
N102,2895523200.0,1000.0,,True,False,False,False,False,True
N102,2949091200.0,1400.0,,True,False,False,False,False,True
N102,2958595200.0,1400.0,,True,False,False,False,False,True
N102,2961187200.0,528.3583,,True,False,False,False,False,True
N102,2968099200.0,1400.0,,True,False,False,False,False,True
N102,2994019200.0,1400.0,,True,False,False,False,False,True
N102,3038083200.0,1000.0,,True,False,False,False,False,True
N102,3044995200.0,1000.0,,True,False,False,False,False,True
N102,3061411200.0,1000.0,,True,False,False,False,False,True
N102,3086467200.0,1000.0,,True,False,False,False,False,True
N102,3123619200.0,1400.0,,True,False,False,False,False,True
N102,3132259200.0,1400.0,,True,False,False,False,False,True
N102,3140899200.0,509.35596,,True,False,False,False,False,True
N102,3161721600.0,1000.0,,True,False,False,False,False,True
N102,3202329600.0,1000.0,,True,False,False,False,False,True
N102,3204921600.0,0.0,,True,False,False,False,False,True
N102,3223929600.0,501.15625,,True,False,False,False,False,True
N102,3226521600.0,0.0,,True,False,False,False,False,True
N102,3234297600.0,0.0,,True,False,False,False,False,True
N102,3240345600.0,499.58047,,True,False,False,False,False,True
N102,3242937600.0,499.3317,,True,False,False,False,False,True
N102,3249849600.0,498.67072,,True,False,False,False,False,True
N102,3269721600.0,0.0,,True,False,False,False,False,True
N102,3304281600.0,1000.0,,True,False,False,False,False,True
N102,3330201600.0,1000.0,,True,False,False,False,False,True
N102,3337113600.0,1000.0,,True,False,False,False,False,True
N102,3435609600.0,481.79254,,True,False,False,False,False,True
N102,3460665600.0,479.63895,,True,False,False,False,False,True
N102,3490905600.0,1000.0,,True,False,False,False,False,True
N102,3495225600.0,0.0,,True,False,False,False,False,True
N102,3499545600.0,1000.0,,True,False,False,False,False,True
N102,3516825600.0,0.0,,True,False,False,False,False,True
N102,3520281600.0,0.0,,True,False,False,False,False,True
N102,3526329600.0,0.0,,True,False,False,False,False,True
N102,3585081600.0,469.306,,True,False,False,False,False,True
N102,3598905600.0,468.1965,,True,False,False,False,False,True
N102,3609273600.0,1000.0,,True,False,False,False,False,True
N102,3612729600.0,1000.0,,True,False,False,False,False,True
N102,3623097600.0,466.27914,,True,False,False,False,False,True
N102,3630873600.0,0.0,,True,False,False,False,False,True
N102,3647289600.0,464.38535,,True,False,False,False,False,True
N102,3648153600.0,0.0,,True,False,False,False,False,True
N102,3663705600.0,463.1069,,True,False,False,False,False,True
N102,3730233600.0,1000.0,,True,False,False,False,False,True
N102,3796761600.0,453.11426,,True,False,False,False,False,True
N102,3805401600.0,0.0,,True,False,False,False,False,True
N102,3825273600.0,451.05017,,True,False,False,False,False,True
N102,3833049600.0,500.0,,True,False,False,False,False,True
N102,3845145600.0,0.0,,True,False,False,False,False,True
N102,3846873600.0,500.0,,True,False,False,False,False,True
N102,3858105600.0,500.0,,True,False,False,False,False,True
N102,3931545600.0,500.0,,True,False,False,False,False,True
N102,3985200000.0,500.0,,True,False,False,False,False,True
N102,3986928000.0,439.86362,,True,False,False,False,False,True
N102,4001616000.0,500.0,,True,False,False,False,False,True
N102,4020624000.0,0.0,,True,False,False,False,False,True
N102,4038768000.0,500.0,,True,False,False,False,False,True
N102,4046544000.0,435.9432,,True,False,False,False,False,True
N102,4070736000.0,434.37585,,True,False,False,False,False,True
N102,4073328000.0,0.0,,True,False,False,False,False,True
N102,4092336000.0,432.9959,,True,False,False,False,False,True
N102,4103568000.0,500.0,,True,False,False,False,False,True
N102,4193424000.0,500.0,,True,False,False,False,False,True
