sensor,n_rows,n_missing,n_physical_outliers,n_iqr_outliers,n_rolling_spikes,n_total_bad,temp_mean,temp_median,temp_std,temp_min,temp_max,time_min,time_max,bad_fraction,possible_failed_sensor,temperature_slope_degC_per_year,drift_slope_robust_z,possible_drift_sensor
N277,27384,0,27384,0,0,27384,-292.15085,-292.15085,0.0,-292.15085,-292.15085,0.0,249.82888432580424,1.0,True,,,False
N927,27384,0,27384,0,0,27384,6039.05,6039.05,0.0,6039.05,6039.05,0.0,249.82888432580424,1.0,True,,,False
N918,27384,406,12627,0,1,13034,9.294864,4.0721965,30.359613,-33.844723,60.355274,0.0,249.82888432580424,0.4759713701431493,True,-0.29418194804183734,2.118724892271151,False
N345,27384,459,12271,79,241,12848,1.8238709,2.5244887,14.033628,-116.593124,110.96401,0.0,249.82888432580424,0.4691790826760152,True,-0.12093039146390759,0.33696692157664104,False
N204,27384,393,11914,0,210,12435,11.451667,6.7135615,28.371035,-119.05078,153.6142,0.0,249.82888432580424,0.4540972830850131,True,-0.2791674045504931,1.9643119503590905,False
N786,27384,432,11585,32,237,12139,5.3858223,4.670383,17.319952,-117.59514,121.46687,0.0,249.82888432580424,0.44328805141688576,True,-0.1537330900859955,0.674317251262743,False
N862,27384,450,9598,6,226,10170,10.7099905,9.10356,17.385271,-104.570274,127.77886,0.0,249.82888432580424,0.37138475021910605,True,-0.17243850232242638,0.8666879173952343,False
N250,27384,411,9011,26,218,9531,8.843726,8.583149,13.900161,-107.13814,119.44266,0.0,249.82888432580424,0.34804995617879053,True,-0.1362943540470662,0.4949733680103944,False
N923,27384,409,8062,0,0,8471,20.897125,16.488403,24.46211,-10.631131,63.57879,0.0,249.82888432580424,0.3093412211510371,True,-0.23072127485606117,1.4660810574462921,False
N350,27384,403,5320,0,433,6039,19.959972,16.88659,19.572216,-102.238304,146.80547,0.0,249.82888432580424,0.2205302366345311,True,-0.19553903680727133,1.1042590091571836,False
N5,27384,418,4478,0,147,4976,30.170284,24.114605,28.944794,-99.5599,173.70184,0.0,249.82888432580424,0.18171194858311424,False,-0.28430942493593925,2.0171936444010212,False
N6,27384,441,4421,0,157,4933,30.0097,24.086432,28.969713,-99.829506,178.349,0.0,249.82888432580424,0.1801416885772714,False,-0.28408475260864147,2.014883063660136,False
N202,27384,413,4430,0,139,4918,30.132093,24.089375,28.924698,-100.19315,171.75461,0.0,249.82888432580424,0.17959392345895414,False,-0.2848701227545477,2.0229599868639085,False
N197,27384,385,4376,0,146,4839,30.16924,24.171356,28.909618,-98.9771,171.47049,0.0,249.82888432580424,0.17670902716914988,False,-0.2848733824819879,2.0229935106339894,False
N203,27384,401,4327,0,144,4811,30.164686,24.143955,28.864246,-97.79573,174.55669,0.0,249.82888432580424,0.1756865322816243,False,-0.2847298831968885,2.0215177317142206,False
N201,27384,430,4307,0,146,4809,30.153286,24.162626,28.989992,-99.21437,175.82167,0.0,249.82888432580424,0.17561349693251535,False,-0.2851487146482734,2.025825088552004,False
N200,27384,431,4296,0,153,4806,30.1648,24.18522,29.033003,-97.49007,179.88826,0.0,249.82888432580424,0.17550394390885188,False,-0.28537831490663695,2.0281863492442205,False
N622,27384,403,4104,1,222,4611,18.588228,16.277805,17.386406,-94.04549,142.71999,0.0,249.82888432580424,0.16838299737072743,False,-0.1798892825539555,0.9433134169153421,False
N187,27384,409,2597,0,0,3006,26.523756,21.640621,24.010212,-2.0656936,70.56278,0.0,249.82888432580424,0.10977212971078001,False,-0.2590420063414902,1.7573378291415274,False
N841,27384,441,0,0,399,840,25.674414,21.944258,17.399153,4.419674,58.83871,0.0,249.82888432580424,0.03067484662576687,False,-0.18565034575659642,1.002561486506931,False
N628,27384,415,102,0,401,818,24.964203,21.551344,16.999256,-92.748024,149.05647,0.0,249.82888432580424,0.029871457785568215,False,-0.16709960423974682,0.8117814888387838,False
N605,27384,380,0,0,427,807,25.734983,21.973583,17.607206,4.1665525,59.345787,0.0,249.82888432580424,0.029469763365468887,False,-0.18819192338352622,1.028699642402137,False
N510,27384,416,115,0,379,796,25.107891,21.621037,17.351614,-89.98783,150.37538,0.0,249.82888432580424,0.02906806894536956,False,-0.16985248317248103,0.8400927148828042,False
N847,27384,426,0,0,365,791,26.022562,22.154423,18.2838,3.4457881,60.878197,0.0,249.82888432580424,0.028885480572597138,False,-0.19528657419298254,1.1016626268550764,False
N548,27384,407,0,0,376,783,25.951807,22.110266,18.0865,3.7398727,60.3569,0.0,249.82888432580424,0.02859333917616126,False,-0.19306592131243624,1.0788249332250088,False
N379,27384,397,103,0,379,780,25.214163,21.70023,17.340227,-88.53747,145.00269,0.0,249.82888432580424,0.02848378615249781,False,-0.17280255680339332,0.8704319355503504,False
N647,27384,423,110,0,353,776,24.740904,21.38524,16.438395,-90.72542,146.22455,0.0,249.82888432580424,0.02833771545427987,False,-0.16028155919938922,0.741663180321613,False
N732,27384,435,110,0,332,767,25.10475,21.586395,17.251143,-90.474464,151.40834,0.0,249.82888432580424,0.028009056383289512,False,-0.17142970677532274,0.8563132371190166,False
N633,27384,409,110,0,340,749,25.459372,21.837502,18.011566,-85.69409,152.18498,0.0,249.82888432580424,0.027351738241308793,False,-0.17953986121534624,0.9397198892871054,False
N288,27384,407,98,0,317,725,25.070677,21.599312,17.093689,-88.902916,150.22758,0.0,249.82888432580424,0.026475314052001167,False,-0.16840852157415187,0.8252426890705252,False
N178,27384,391,119,0,331,723,24.913088,21.544712,16.991392,-88.867195,151.823,0.0,249.82888432580424,0.0264022787028922,False,-0.16527001115368972,0.7929655420813676,False
N629,27384,418,103,0,288,706,24.657469,21.365143,16.263397,-90.15235,143.99835,0.0,249.82888432580424,0.025781478235465966,False,-0.15856073914486396,0.7239658798826286,False
N112,27384,461,105,132,237,698,17.92845,17.682669,6.697569,-82.635345,120.97567,0.0,249.82888432580424,0.02548933683903009,False,-0.011115585392757662,0.7923932405038221,False
N464,27384,443,122,2,253,697,24.222706,21.159029,15.539379,-90.81866,145.8487,0.0,249.82888432580424,0.025452819164475605,False,-0.1488308651203429,0.6239016672459826,False
N108,27384,463,119,114,233,696,17.586708,17.501362,6.371134,-82.7236,118.791245,0.0,249.82888432580424,0.025416301489921123,False,-0.007659355719854153,0.8279378837375277,False
N463,27384,457,105,0,234,693,24.316252,21.16128,15.493418,-84.68946,145.87024,0.0,249.82888432580424,0.02530674846625767,False,-0.15055373381500986,0.6416200363609066,False
N140,27384,448,119,117,242,690,19.832886,18.88011,7.9748025,-84.525734,122.26,0.0,249.82888432580424,0.025197195442594217,False,-0.04453225569663971,0.4487286879649784,False
N735,27384,450,118,121,239,689,18.22977,17.929173,6.6298094,-83.618576,118.32736,0.0,249.82888432580424,0.025160677768039732,False,-0.01651194702251086,0.736895843906188,False
N748,27384,433,121,135,256,689,19.124407,18.47072,7.4504347,-84.55016,125.590096,0.0,249.82888432580424,0.025160677768039732,False,-0.030654988123377105,0.5914456285715074,False
N305,27384,436,124,117,250,686,20.051207,18.986038,8.473215,-85.2239,128.12827,0.0,249.82888432580424,0.025051124744376277,False,-0.04890148838316973,0.40379451641228503,False
N274,27384,432,137,111,252,684,19.574966,18.782207,7.943563,-84.36207,124.28923,0.0,249.82888432580424,0.02497808939526731,False,-0.04098404992573904,0.4852192340751533,False
N708,27384,435,118,64,249,684,21.821177,19.870472,10.844966,-83.552826,135.51884,0.0,249.82888432580424,0.02497808939526731,False,-0.0880000857436423,0.0016957482049016921,False
N302,27384,427,144,11,256,683,23.009624,20.53187,13.232061,-88.226456,138.93983,0.0,249.82888432580424,0.024941571720712825,False,-0.11976093259635347,0.32493994358105416,False
N353,27384,451,109,123,232,683,18.919853,18.331821,7.2225432,-85.54234,122.83215,0.0,249.82888432580424,0.024941571720712825,False,-0.027027881194278385,0.6287476119368113,False
N744,27384,428,126,0,252,683,24.309298,21.186543,15.704158,-88.636,145.96643,0.0,249.82888432580424,0.024941571720712825,False,-0.15113252051065315,0.6475724089032595,False
N281,27384,409,146,127,273,682,19.367767,18.644619,7.942407,-82.80296,124.07143,0.0,249.82888432580424,0.02490505404615834,False,-0.03639966579038171,0.5323660715133742,False
N279,27384,428,147,77,253,681,20.577707,19.307213,9.157356,-85.89459,131.41675,0.0,249.82888432580424,0.024868536371603855,False,-0.06241633728209739,0.2648047709575893,False
N572,27384,432,121,6,249,681,23.592999,20.771984,14.143611,-90.27504,136.6025,0.0,249.82888432580424,0.024868536371603855,False,-0.13167557453127182,0.44747280074452145,False
N664,27384,421,123,134,260,681,19.853815,18.886568,8.379581,-86.40637,125.06128,0.0,249.82888432580424,0.024868536371603855,False,-0.044604432574048156,0.4479864047257251,False
N227,27384,459,102,1,219,678,23.90297,20.955097,14.596342,-88.291695,137.12953,0.0,249.82888432580424,0.024758983347940404,False,-0.1391660417397625,0.5245064500609758,False
N867,27384,430,119,127,248,678,19.423666,18.649174,7.6600018,-83.88647,123.74641,0.0,249.82888432580424,0.024758983347940404,False,-0.036500339160960356,0.5313307239297321,False
N121,27384,422,123,131,254,676,24.622374,25.221485,7.064333,-77.954185,125.50588,0.0,249.82888432580424,0.024685947998831434,False,0.029691155538458282,1.2120589413401401,False
N113,27384,446,98,128,226,672,17.99676,17.720667,6.3223376,-80.519135,118.76946,0.0,249.82888432580424,0.024539877300613498,False,-0.012046929524329935,0.782815088003114,False
N398,27384,407,134,130,264,671,18.287724,17.952124,7.1702633,-84.20509,119.912476,0.0,249.82888432580424,0.024503359626059013,False,-0.017597317609768598,0.7257336486959304,False
N245,27384,413,123,88,257,670,21.277393,19.606253,10.045953,-87.270134,131.91759,0.0,249.82888432580424,0.024466841951504528,False,-0.07492135921353503,0.13620031313832257,False
N248,27384,410,138,122,260,670,25.445759,26.297144,7.455867,-75.76283,127.49824,0.0,249.82888432580424,0.024466841951504528,False,0.0405932569319529,1.3241786038635839,False
N259,27384,431,122,99,239,670,20.169678,19.085327,8.399621,-85.948,123.320076,0.0,249.82888432580424,0.024466841951504528,False,-0.051690899034636126,0.37510758995714033,False
N517,27384,434,116,15,236,670,23.184015,20.567055,13.294983,-89.76867,143.19212,0.0,249.82888432580424,0.024466841951504528,False,-0.12186377222201321,0.34656601920263846,False
N543,27384,434,110,19,236,670,22.971296,20.454067,12.855148,-90.26065,141.8798,0.0,249.82888432580424,0.024466841951504528,False,-0.11639701884784488,0.29034469807491625,False
N212,27384,426,116,0,236,669,26.403917,22.327198,20.371067,-93.88577,159.91397,0.0,249.82888432580424,0.024430324276950043,False,-0.2042808791150794,1.1941620814189635,False
N634,27384,440,116,51,229,669,21.824291,19.879581,10.761093,-87.474525,131.49524,0.0,249.82888432580424,0.024430324276950043,False,-0.08931917570606003,0.011870069621062377,False
N8,27384,388,93,0,279,669,26.228785,22.241478,19.61954,-93.109795,155.225,0.0,249.82888432580424,0.024430324276950043,False,-0.197771780751196,1.1272210500022148,False
N669,27384,436,121,110,231,667,18.581951,18.188864,6.8658686,-82.63525,118.7417,0.0,249.82888432580424,0.024357288927841076,False,-0.022845800694065693,0.6717570683164331,False
N80,27384,424,121,122,243,667,17.98141,17.756105,6.703114,-82.234795,119.557785,0.0,249.82888432580424,0.024357288927841076,False,-0.012999804316735815,0.773015509344325,False
N175,27384,417,100,1,248,666,24.22066,21.11533,15.267779,-85.82558,144.37482,0.0,249.82888432580424,0.02432077125328659,False,-0.14585403147260914,0.5932872405473372,False
N762,27384,385,98,0,278,665,24.85656,21.466942,16.658392,-88.79017,150.32904,0.0,249.82888432580424,0.024284253578732106,False,-0.16306888742908823,0.7703286906829825,False
N560,27384,412,124,128,252,664,19.391035,18.624004,7.538124,-82.243454,123.04586,0.0,249.82888432580424,0.02424773590417762,False,-0.03573739614085706,0.5391770015280712,False
