feature,importance_gain
power_over_r_xy,5060856874.201172
power,1124749563.4296875
coor_x,815159255.3203125
r_xy,327694702.4042969
time,217450746.30664062
power_x_time,200035160.27929688
coor_y,132769133.09375
neighbor_dist_mean,93196017.92382812
r_xyz,40131455.3046875
abs_y,27892642.90625
time_years,23265064.58984375
neighbor_temp_dist_weighted,9777782.6015625
neighbor_temp_mean,7192996.306640625
neighbor_temp_min,5815600.40625
neighbor_temp_std,5698981.501953125
neighbor_temp_max,4274563.087890625
coor_z,0.0
